Band,Start,Finish,Stage
ARCTIC MONKEYS,22:15,23:45,Pyramid
ROYAL BLOOD,20:15,21:15,Pyramid
THE CHURNUPS,18:15,19:30,Pyramid
TEXAS,16:15,17:15,Pyramid
STEFFLON DON,14:45,15:45,Pyramid
MAISIE PETERS,13:15,14:15,Pyramid
THE MASTER MUSICIANS OF JOUJOUKA,12:00,12:45,Pyramid
WIZKID,22:30,23:45,Other
FRED AGAIN..,20:30,21:30,Other
CHVRCHES,18:45,19:45,Other
KREPT & KONAN,17:15,18:15,Other
CARLY RAE JEPSEN,15:45,16:45,Other
LIGHTNING SEEDS,14:15,15:15,Other
THE HIVES,13:00,13:45,Other
BEN HOWARD,11:30,12:30,Other
HOT CHIP,22:30,23:45,Woodsies
WARPAINT,21:00,22:00,Woodsies
TBA,19:30,20:30,Woodsies
COURTEENERS,18:00,19:00,Woodsies
PALE WAVES,16:30,17:30,Woodsies
DIGGA D,15:15,16:00,Woodsies
FLO,14:00,14:45,Woodsies
BRU-C,12:45,13:30,Woodsies
THE SIXSTERS,11:30,12:15,Woodsies
KELIS,22:15,23:45,West Holts
YOUNG FATHERS,20:30,21:30,West Holts
JOEY BADASS,19:00,20:00,West Holts
GABRIELS,17:30,18:30,West Holts
LOUIS COLE,16:00,17:00,West Holts
ADG7,14:30,15:30,West Holts
YAYA BEY,13:00,14:00,West Holts
STAR FEMININE BAND,11:30,12:30,West Holts
FEVER RAY,23:00,00:15,Park
SPARKS,21:15,22:15,Park
SHYGIRL,19:45,20:45,Park
THE COMET IS COMING,18:15,19:15,Park
UNKNOWN MORTAL ORCHESTRA,16:45,17:45,Park
BILLY NOMATES,15:15,16:15,Park
LOS BITCHOS,14:00,14:45,Park
ALABASTER DEPLUME,12:45,13:30,Park
ADWAITH,11:30,12:10,Park
SHERELLE,02:00,03:00,Arcadia
FLOATING POINTS B2B DAPHNI,00:30,02:00,Arcadia
THE CHEMICAL BROTHERS (DJ SET),22:30,00:30,Arcadia
ELKKA,21:30,22:30,Arcadia
